crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2
2026-03-08T00:00:00.000,23:09,MANHATTAN,10002,40.717922,-73.993095,"{'latitude': '40.717922', 'longitude': '-73.993095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAND ST,FORSYTH ST,0,0,0,0,0,0,0,0,Driver Inexperience,,4884046,Taxi,
2026-03-08T00:00:00.000,19:10,MANHATTAN,10013,40.71843,-74.000534,"{'latitude': '40.71843', 'longitude': '-74.000534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,LAFAYETTE ST,0,0,0,0,0,0,0,0,Passing Too Closely,,4884218,Sedan,
2026-03-07T00:00:00.000,15:40,MANHATTAN,10013,40.719906,-74.0026,"{'latitude': '40.719906', 'longitude': '-74.0026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,MERCER ST,0,0,0,0,0,0,0,0,Unspecified,,4883871,Sedan,
2026-03-06T00:00:00.000,21:40,,,40.7237,-74.00791,"{'latitude': '40.7237', 'longitude': '-74.00791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON ST,CANAL ST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4883773,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2026-03-06T00:00:00.000,7:12,MANHATTAN,10013,40.724403,-74.00604,"{'latitude': '40.724403', 'longitude': '-74.00604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOME ST,VARICK ST,0,0,0,0,0,0,0,0,Unspecified,,4883504,Sedan,Sedan
2026-03-06T00:00:00.000,17:05,,,40.725025,-74.0059,"{'latitude': '40.725025', 'longitude': '-74.0059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VARICK ST,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4883772,Sedan,Pick-up Truck
2026-03-06T00:00:00.000,19:25,MANHATTAN,10012,40.72195,-73.99627,"{'latitude': '40.72195', 'longitude': '-73.99627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MULBERRY ST,SPRING ST,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4884042,Taxi,FDNY Ambul
2026-03-06T00:00:00.000,12:15,MANHATTAN,10013,40.718018,-73.999954,"{'latitude': '40.718018', 'longitude': '-73.999954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,CENTRE ST,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4884220,Station Wagon/Sport Utility Vehicle,
2026-03-05T00:00:00.000,13:35,MANHATTAN,10012,40.720894,-73.99575,"{'latitude': '40.720894', 'longitude': '-73.99575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KENMARE ST,MOTT ST,0,0,0,0,0,0,0,0,Unspecified,,4884512,Station Wagon/Sport Utility Vehicle,
2026-03-05T00:00:00.000,18:30,MANHATTAN,10002,40.71997,-73.9929,"{'latitude': '40.71997', 'longitude': '-73.9929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHRYSTIE ST,DELANCEY ST,0,0,0,0,0,0,0,0,Glare,,4884043,Ambulance,
2026-03-05T00:00:00.000,14:15,MANHATTAN,10012,40.7214,-73.99545,"{'latitude': '40.7214', 'longitude': '-73.99545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4883386,Sedan,Moped
2026-03-05T00:00:00.000,19:47,MANHATTAN,10014,40.727154,-74.00555,"{'latitude': '40.727154', 'longitude': '-74.00555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHARLTON ST,VARICK ST,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Traffic Control Disregarded,4883934,Taxi,
2026-03-05T00:00:00.000,9:05,MANHATTAN,10013,40.722626,-74.00812,"{'latitude': '40.722626', 'longitude': '-74.00812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON ST,VESTRY ST,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,4883490,Pick-up Truck,
2026-03-04T00:00:00.000,12:10,,,40.725792,-74.011024,"{'latitude': '40.725792', 'longitude': '-74.011024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST ST,CANAL ST,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,4883484,E-Bike,
2026-03-03T00:00:00.000,14:30,MANHATTAN,10013,40.72106,-73.9982,"{'latitude': '40.72106', 'longitude': '-73.9982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAFAYETTE ST,BROOME ST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4883384,Pick-up Truck,Sedan
2026-03-02T00:00:00.000,0:00,,,40.72197,-74.00823,"{'latitude': '40.72197', 'longitude': '-74.00823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON ST,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,4882915,Sedan,Station Wagon/Sport Utility Vehicle
2026-03-01T00:00:00.000,10:25,,,40.72033,-74.0055,"{'latitude': '40.72033', 'longitude': '-74.0055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",W BROADWAY,BEACH ST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4882288,Sedan,Sedan
2026-03-01T00:00:00.000,13:00,MANHATTAN,10012,40.72236,-73.996,"{'latitude': '40.72236', 'longitude': '-73.996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4882592,Sedan,Sedan
2026-02-27T00:00:00.000,17:40,,,40.725792,-74.011024,"{'latitude': '40.725792', 'longitude': '-74.011024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,WEST ST,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4881841,Sedan,
2026-02-27T00:00:00.000,16:17,,,40.725246,-74.010056,"{'latitude': '40.725246', 'longitude': '-74.010056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,WASHINGTON ST,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4882311,Bus,Bus
2026-02-24T00:00:00.000,23:00,MANHATTAN,10012,40.721775,-73.9956,"{'latitude': '40.721775', 'longitude': '-73.9956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4882594,Station Wagon/Sport Utility Vehicle,Flat Bed
2026-02-24T00:00:00.000,10:00,MANHATTAN,10012,40.72438,-73.9975,"{'latitude': '40.72438', 'longitude': '-73.9975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,4881102,Box Truck,Station Wagon/Sport Utility Vehicle
2026-02-22T00:00:00.000,1:16,MANHATTAN,10012,40.724136,-73.99261,"{'latitude': '40.724136', 'longitude': '-73.99261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOWERY,E HOUSTON ST,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,4880487,Station Wagon/Sport Utility Vehicle,
2026-02-21T00:00:00.000,22:45,MANHATTAN,10002,40.71997,-73.9929,"{'latitude': '40.71997', 'longitude': '-73.9929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DELANCEY ST,CHRYSTIE ST,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4880522,Station Wagon/Sport Utility Vehicle,Sedan
2026-02-21T00:00:00.000,12:39,MANHATTAN,10014,40.726254,-74.010315,"{'latitude': '40.726254', 'longitude': '-74.010315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,0,0,1,0,Accelerator Defective,Unspecified,4881722,Pick-up Truck,Station Wagon/Sport Utility Vehicle
2026-02-20T00:00:00.000,17:04,MANHATTAN,10013,40.718456,-73.99481,"{'latitude': '40.718456', 'longitude': '-73.99481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOWERY,GRAND ST,0,0,0,0,0,0,0,0,Driver Inexperience,,4882806,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2026-02-20T00:00:00.000,21:58,,,40.725792,-74.011024,"{'latitude': '40.725792', 'longitude': '-74.011024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST ST,CANAL ST,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4880708,Taxi,Taxi
2026-02-20T00:00:00.000,13:20,MANHATTAN,10002,40.721947,-73.99208,"{'latitude': '40.721947', 'longitude': '-73.99208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4880527,Station Wagon/Sport Utility Vehicle,
2026-02-19T00:00:00.000,15:33,MANHATTAN,10012,40.727287,-74.00063,"{'latitude': '40.727287', 'longitude': '-74.00063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THOMPSON ST,W HOUSTON ST,0,0,0,0,0,0,0,0,Unspecified,,4880612,Station Wagon/Sport Utility Vehicle,
2026-02-18T00:00:00.000,20:00,MANHATTAN,10012,40.72211,-73.99642,"{'latitude': '40.72211', 'longitude': '-73.99642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4881593,Convertible,Sanitation
2026-02-18T00:00:00.000,17:40,MANHATTAN,10012,40.721794,-73.999855,"{'latitude': '40.721794', 'longitude': '-73.999855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,BROOME ST,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4880026,mta bus,E-Bike
2026-02-18T00:00:00.000,14:21,MANHATTAN,10012,40.725433,-73.99677,"{'latitude': '40.725433', 'longitude': '-73.99677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E HOUSTON ST,BROADWAY,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,4880069,Sedan,Sedan
2026-02-18T00:00:00.000,10:40,MANHATTAN,10013,40.717663,-74.00754,"{'latitude': '40.717663', 'longitude': '-74.00754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",W BROADWAY,WORTH ST,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,4879842,Station Wagon/Sport Utility Vehicle,
2026-02-17T00:00:00.000,9:56,MANHATTAN,10012,40.725006,-73.999344,"{'latitude': '40.725006', 'longitude': '-73.999344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PRINCE ST,GREENE ST,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,4879844,Van,Bike
2026-02-17T00:00:00.000,12:25,MANHATTAN,10013,40.722168,-74.00906,"{'latitude': '40.722168', 'longitude': '-74.00906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,4880011,Station Wagon/Sport Utility Vehicle,
2026-02-17T00:00:00.000,11:45,MANHATTAN,10013,40.717678,-74.005775,"{'latitude': '40.717678', 'longitude': '-74.005775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHURCH ST,LEONARD ST,1,0,0,0,1,0,0,0,Following Too Closely,Driver Inattention/Distraction,4879845,Bike,Sedan
2026-02-16T00:00:00.000,16:20,MANHATTAN,10013,40.719193,-73.99984,"{'latitude': '40.719193', 'longitude': '-73.99984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAFAYETTE ST,HOWARD ST,0,0,0,0,0,0,0,0,Unspecified,,4880379,Station Wagon/Sport Utility Vehicle,
2026-02-16T00:00:00.000,0:00,MANHATTAN,10012,40.724075,-74.00251,"{'latitude': '40.724075', 'longitude': '-74.00251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4880025,Station Wagon/Sport Utility Vehicle,Sedan
2026-02-16T00:00:00.000,18:50,MANHATTAN,10012,40.724243,-74.004105,"{'latitude': '40.724243', 'longitude': '-74.004105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4879540,Station Wagon/Sport Utility Vehicle,E-Bike
2026-02-15T00:00:00.000,4:15,MANHATTAN,10012,40.72032,-73.99404,"{'latitude': '40.72032', 'longitude': '-73.99404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOWERY,DELANCEY ST,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,4879543,Taxi,Taxi
2026-02-15T00:00:00.000,0:58,MANHATTAN,10013,40.71816,-73.99793,"{'latitude': '40.71816', 'longitude': '-73.99793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MULBERRY ST,HESTER ST,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4879121,Sedan,
2026-02-14T00:00:00.000,19:00,MANHATTAN,10013,40.71767,-73.99836,"{'latitude': '40.71767', 'longitude': '-73.99836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4883387,Chassis Cab,Sedan
2026-02-14T00:00:00.000,11:24,MANHATTAN,10012,40.721706,-73.99807,"{'latitude': '40.721706', 'longitude': '-73.99807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,4880948,Box Truck,Van
2026-02-13T00:00:00.000,19:12,MANHATTAN,10012,40.72309,-74.000854,"{'latitude': '40.72309', 'longitude': '-74.000854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,,4879221,Convertible,Box Truck
2026-02-13T00:00:00.000,17:57,MANHATTAN,10013,40.72345,-74.00383,"{'latitude': '40.72345', 'longitude': '-74.00383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THOMPSON ST,WATTS ST,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,4879223,Van,Sedan
2026-02-13T00:00:00.000,19:29,MANHATTAN,10002,40.717625,-73.99249,"{'latitude': '40.717625', 'longitude': '-73.99249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4878978,Box Truck,Taxi
2026-02-12T00:00:00.000,14:00,MANHATTAN,10012,40.72419,-74.00207,"{'latitude': '40.72419', 'longitude': '-74.00207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4879309,Bike,Box Truck
2026-02-12T00:00:00.000,15:38,MANHATTAN,10013,40.72038,-74.007065,"{'latitude': '40.72038', 'longitude': '-74.007065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4878707,Sedan,Sedan
