nta2020,ntaname,n_tracts,area_km2,combined_idx_awm,ped_pctile_awm,crash_pctile_awm,res_pctile_awm,combined_ped_pctile_awm,combined_crash_leg_pctile_awm,dist_nearest_subway_m_awm,subway_access_pctile_awm,combined_idx_nta_pctile,ped_pctile_nta_pctile,crash_pctile_nta_pctile,res_pctile_nta_pctile,subway_access_pctile_nta_pctile,dist_subway_closer_nta_pctile
MN0201,SoHo-Little Italy-Hudson Square,6,1.2000063623033892,92.62166900420756,86.19553320165106,64.32642251289506,13.883891332922577,86.19553320165106,57.257746617571094,0.0,83.38709677419355,100.0,97.36842105263158,76.31578947368422,19.444444444444446,98.68421052631578,98.68421052631578
MN0501,Midtown South-Flatiron-Union Square,8,1.3823063705693805,81.13183990416084,93.6742992832608,75.68377406882357,9.179615927390298,93.6742992832608,57.68020342736785,0.0018641144097788721,81.24932972159787,97.22222222222221,100.0,100.0,16.666666666666664,94.73684210526315,94.73684210526315
MN0202,Greenwich Village,7,0.9850439247141712,72.61462554202319,84.30732164421698,30.361081287857218,26.998648557139433,84.30732164421698,23.548387096774192,10.210244418191587,70.55018844074688,94.44444444444444,94.73684210526315,34.21052631578947,25.0,84.21052631578947,86.8421052631579
MN0102,Tribeca-Civic Center,5,1.2614610625745828,72.0949927340138,75.50889795991807,65.75936949753083,16.976015714814434,75.50889795991807,64.499194954277,20.777865421356864,72.48554955700061,91.66666666666666,86.8421052631579,84.21052631578947,22.22222222222222,89.47368421052632,81.57894736842105
MN0602,Gramercy,4,0.6991882481090657,70.1060903170132,79.96863616768488,71.32866652617133,31.17113333606818,79.96863616768488,45.861318527335605,80.44698819977457,53.26710752545308,88.88888888888889,92.10526315789474,92.10526315789474,30.555555555555557,55.26315789473685,50.0
MN0502,Midtown-Times Square,14,2.281005761515503,68.74660881778208,77.82460384454389,61.362809378861016,6.777853815356289,77.82460384454389,54.11668506270311,5.459166880763181,75.86238538250018,86.11111111111111,89.47368421052632,68.42105263157895,13.88888888888889,92.10526315789474,89.47368421052632
MN0604,East Midtown-Turtle Bay,10,1.2206141956619334,66.67053600732172,67.50973319509224,62.85397541493029,31.551335087611406,67.50973319509224,62.708750027121795,140.166574712465,50.03626775183076,83.33333333333334,81.57894736842105,71.05263157894737,33.33333333333333,50.0,36.84210526315789
MN0302,Lower East Side,10,1.5303968188743515,66.47724649693176,61.94784775869619,63.82115276261142,59.30479910373362,61.94784775869619,64.95598670335272,268.47999802949346,31.077781755344972,80.55555555555556,73.68421052631578,73.68421052631578,66.66666666666666,23.684210526315788,18.421052631578945
MN0101,Financial District-Battery Park City,7,1.7862228899954724,63.32349528261455,69.70030387115058,43.44392377739205,27.455523902538367,69.70030387115058,46.80481923252528,41.54278412451488,69.1916387520515,77.77777777777779,84.21052631578947,42.10526315789473,27.77777777777778,81.57894736842105,65.78947368421053
MN0303,East Village,14,1.7634991047264097,62.24259899278383,61.4313756500418,43.84771271743632,55.81783692164855,61.4313756500418,53.36750356388823,306.34392085040054,29.662680894374834,75.0,68.42105263157895,47.368421052631575,55.55555555555556,18.421052631578945,13.157894736842104
MN0603,Murray Hill-Kips Bay,9,1.4651880532000459,60.3062347594847,53.62863366517124,66.06140245553773,56.87538361314494,53.62863366517124,69.57439652899896,326.71968189975905,26.836924588994176,72.22222222222221,65.78947368421053,86.8421052631579,58.333333333333336,13.157894736842104,10.526315789473683
MN0802,Upper East Side-Carnegie Hill,14,1.8641333043843966,60.07933713359618,64.89779536832832,45.51072085685127,37.09107931827965,64.89779536832832,44.675283442264075,72.93503142646901,52.72054212886317,69.44444444444444,76.31578947368422,52.63157894736842,38.88888888888889,52.63157894736842,52.63157894736842
MN0301,Chinatown-Two Bridges,7,1.0722300663218647,59.74586138192975,61.51993756798722,53.95546510930112,42.15996092627367,61.51993756798722,51.571505054812306,126.82675641298145,42.296537315795305,66.66666666666666,71.05263157894737,60.526315789473685,50.0,31.57894736842105,39.473684210526315
MN0401,Chelsea-Hudson Yards,13,2.756595945052834,54.08748019263985,51.29254330535489,54.984972416304736,40.08991989795827,51.29254330535489,54.718399702456836,142.6613596495538,49.534741799953956,63.888888888888886,63.1578947368421,63.1578947368421,47.22222222222222,47.368421052631575,34.21052631578947
MN0203,West Village,7,1.339370410363563,53.92323099661784,65.02153081052533,26.45028274418585,39.10988224918649,65.02153081052533,23.54838709677419,114.02546663192972,45.62510679044911,61.111111111111114,78.94736842105263,26.31578947368421,41.66666666666667,39.473684210526315,44.73684210526316
MN1101,East Harlem (South),11,1.547201643006408,52.877062834966814,44.502257221173146,66.19292005022959,70.26262642964949,44.502257221173146,63.82850677214265,120.03227438913487,44.368123489241555,58.333333333333336,55.26315789473685,89.47368421052632,91.66666666666666,36.84210526315789,42.10526315789473
MN0701,Upper West Side-Lincoln Square,11,1.467625273276819,51.99436325814264,47.8680894216037,25.412476079632725,61.195845519758734,47.8680894216037,53.77074662944424,148.38405587509502,49.03585316587277,55.55555555555556,60.526315789473685,23.684210526315788,72.22222222222221,44.73684210526316,31.57894736842105
MN0402,Hell's Kitchen,10,1.7077729169663758,50.00985652053003,43.96581738064294,50.655252298406516,36.47130000290656,43.96581738064294,56.93361471625659,292.57126222071366,30.3600636924871,52.77777777777778,52.63157894736842,57.89473684210527,36.11111111111111,21.052631578947366,15.789473684210526
MN1102,East Harlem (North),12,2.426564107177507,49.57791718504922,41.69003006658766,74.8389676248287,57.835715294201044,41.69003006658766,59.22010263877136,211.141634376114,33.2966507335726,50.0,47.368421052631575,97.36842105263158,61.111111111111114,28.947368421052634,23.684210526315788
