geoid,ntaname,ped_pctile,crash_pctile,res_pctile,combined_ped_pctile,combined_crash_leg_pctile,combined_idx_base,combined_idx,study_intersects,study_floor_threshold,combined_scope_in,ped_metric,ped_density,area_km2,crash_n,crash_density,ped_ksi,ksi_rate,res_unit_share_pct,acs_hu_per_km2,dist_nearest_subway_m,subway_access_pctile,nearest_stop_name,nearest_complex_id,nearest_subway_ridership_sum,subway_nearest_ridership_pctile,transit_access_ridership_pctile,nw_exp_HME_AMN,nw_exp_HME_JOB,nw_exp_HME_MTA,nw_exp_HME_PRK,nw_exp_HME_SCH,nw_exp_predwkdyAM,nw_exp_predwkdyMD,nw_exp_predwkdyPM,nw_exp_predwkndAM,nw_exp_predwkndMD,nw_exp_predwkndPM
36061004100,SoHo-Little Italy-Hudson Square,92.25806451612904,97.09677419354838,16.938110749185668,92.25806451612904,43.54838709677419,76.88883996429176,76.88883996429176,True,,True,19541275.14037667,102175909.91822901,0.19125129549632075,858,4486.244120717634,87.0,4.4521145586924306e-06,77.13163799551234,20057.38047444388,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,17696537.726845384,14594195.038495865,9607832.780278081,7936151.197535794,11261388.769721322,11091976.526492972,21888255.10313865,21265831.73092243,6491810.237407838,29474007.227911133,27035770.01638697
36061003601,Lower East Side,69.03225806451613,91.93548387096774,33.55048859934853,69.03225806451613,88.38709677419355,75.93762868908716,75.93762868908716,True,,True,4359217.481183209,43354331.232429996,0.10054860396329718,370,3679.812403313521,44.0,1.0093552362637537e-05,91.01063829787235,15942.538601382632,7.4759861543610375,52.903225806451616,2 Av,232,9578485.0,49.83870967741936,53.2258064516129,5488562.818832044,5504787.30517287,3913824.2607780853,10881059.621354764,7175928.850623423,3248184.0301465527,4195031.293809616,5074955.782410004,1902836.1457059311,6064376.183570185,5669921.451456967
36061004500,SoHo-Little Italy-Hudson Square,98.06451612903226,89.35483870967742,5.537459283387622,98.06451612903226,32.25806451612903,75.83300269043673,75.83300269043673,True,,True,13522055.317838198,128859715.14345066,0.10493625026863533,364,3468.772698358909,46.0,3.4018494612625696e-06,48.27295703454086,5917.878696925502,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,5551027.950031313,5452164.811571885,6356609.727968823,1256914.1424334259,1703430.6144720528,9222796.709211038,14644125.001280848,17385744.451960664,3522183.200624543,18825317.69828778,17532164.845664315
36061005502,Greenwich Village,90.0,79.03225806451613,14.65798045602606,90.0,38.387096774193544,73.66521406993299,73.66521406993299,True,,True,10574437.394775668,91569363.8485864,0.11548007925730404,310,2684.4456809670287,41.0,3.877274467857902e-06,72.98170075349839,11092.822313931496,0.0,83.38709677419355,Broadway-Lafayette St,619,22467733.0,81.12903225806451,89.35483870967742,7806401.53553015,10340026.81529795,13487835.987692092,3762512.7870232128,2133961.1129905675,9343815.254314305,10711351.722283062,13066380.098574612,3399438.923509825,12911675.794139758,14013962.57583245
36061004900,SoHo-Little Italy-Hudson Square,87.09677419354838,67.0967741935484,18.892508143322477,87.09677419354838,27.741935483870968,68.88621812013875,68.88621812013875,True,,True,16759450.10475336,81036455.40326528,0.2068137114506375,472,2282.2471328873057,52.0,3.1027269136070703e-06,79.01468498342018,14786.253670274113,0.0,83.38709677419355,Spring St,168,7682681.0,38.064516129032256,77.41935483870968,13111009.190420639,11748210.499335533,6139289.319978294,4791215.698146124,3482506.3663625703,11220430.496595673,20359340.519605834,20652239.682575226,5123339.870403704,22581771.701503683,20619578.357836034
36061004300,SoHo-Little Italy-Hudson Square,89.35483870967742,93.54838709677419,13.680781758957655,89.35483870967742,23.870967741935484,68.84054212910141,68.84054212910141,True,,True,13399269.609684715,89829275.32119477,0.14916372821414964,574,3848.1204973364997,38.0,2.835975263648634e-06,71.97213290460878,19341.163126856798,0.0,83.38709677419355,Prince St,17,7386040.0,37.41935483870968,77.09677419354838,9584830.633119663,9264547.289180314,9581913.85924968,3556595.044119107,1941965.178797838,9808594.955210868,13806017.14891173,16823999.92562702,4063634.0230689915,17786637.133304927,18106734.47198476
36061003602,East Village,72.25806451612902,64.51612903225806,46.579804560260584,72.25806451612902,50.645161290322584,66.83325341842892,66.83325341842892,True,,True,4464623.899527487,50003419.8278835,0.08928637111011897,198,2217.5836864934513,23.0,5.151608593688173e-06,93.43926191696566,18883.061088019993,0.0,83.38709677419355,2 Av,232,9578485.0,49.83870967741936,80.96774193548387,5997998.14130272,5852886.099245142,5942178.495721253,6225343.165433549,5231912.933873756,3326194.9002419095,4339074.234896415,5127787.12550421,1781451.8767932325,5823233.88666612,6390001.373063034
36061004700,SoHo-Little Italy-Hudson Square,89.03225806451613,81.29032258064515,15.309446254071663,89.03225806451613,7.741935483870968,63.88229264437089,63.88229264437089,True,,True,14414571.753683269,87139969.71811281,0.16541859952800825,465,2811.050276853948,22.0,1.5262332346533457e-06,73.77488514548239,10385.772850828136,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,7081944.045925126,5524495.972610593,4769091.843433488,2845312.163909154,3468662.77566247,9172849.820313597,16408044.202056821,17343996.272480655,4119654.044871533,21292355.104648136,18150531.077728875
36061003700,SoHo-Little Italy-Hudson Square,72.58064516129032,61.61290322580645,11.400651465798045,72.58064516129032,23.225806451612904,57.48305969669708,57.48305969669708,True,,True,19125704.00121412,50011937.40070591,0.38242277734563757,812,2123.3044894344935,54.0,2.8234253323771346e-06,66.75796812749005,6354.224026263324,0.0,83.38709677419355,Houston St,324,7221048.0,34.83870967741935,76.12903225806451,8146213.313140106,13820365.903863998,7568793.546021722,7925193.279308348,10039532.854627877,18039457.646455273,21828517.692738794,24585902.43865321,6982660.64111415,20652031.843000233,22665653.745323062
36061005501,Greenwich Village,75.80645161290323,17.419354838709676,18.566775244299674,75.80645161290323,5.161290322580645,54.77313688743571,54.77313688743571,True,,True,6829141.163891073,54918524.80273036,0.12435041160376456,101,812.2208740396509,7.0,1.02501893092991e-06,79.01112484548825,18423.742796285547,48.43059653242395,46.12903225806452,Broadway-Lafayette St,619,22467733.0,81.12903225806451,46.774193548387096,6914177.629494861,7557452.126649244,5170766.992129914,7610109.805055489,2595088.960339214,5042722.265498573,7308943.859840073,8092437.425292521,2520765.0237295083,9016971.019056091,8993007.389929673
