geoid,ntaname,ped_pctile,crash_pctile,res_pctile,combined_ped_pctile,combined_crash_leg_pctile,combined_idx_base,combined_idx,study_intersects,study_floor_threshold,combined_scope_in,ped_metric,ped_density,area_km2,crash_n,crash_density,ped_ksi,ksi_rate,res_unit_share_pct,acs_hu_per_km2,dist_nearest_subway_m,subway_access_pctile,nearest_stop_name,nearest_complex_id,nearest_subway_ridership_sum,subway_nearest_ridership_pctile,transit_access_ridership_pctile,nw_exp_HME_AMN,nw_exp_HME_JOB,nw_exp_HME_MTA,nw_exp_HME_PRK,nw_exp_HME_SCH,nw_exp_predwkdyAM,nw_exp_predwkdyMD,nw_exp_predwkdyPM,nw_exp_predwkndAM,nw_exp_predwkndMD,nw_exp_predwkndPM
36061004100,SoHo-Little Italy-Hudson Square,91.93548387096774,97.09677419354838,16.938110749185668,91.93548387096774,43.54838709677419,76.67916254493691,76.67916254493691,True,,True,5899274.537242532,30845670.98974773,0.19125129549632075,858,4486.244120717634,87.0,1.4747573570816115e-05,77.13163799551234,20057.38047444388,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,5274410.221705185,4363718.0291779945,2896747.279461946,2343551.8650195426,3386738.2326629157,3341244.5304342806,6613807.86777704,6417816.385951983,1958443.2428301938,8907397.37378235,8156937.82267934
36061003601,Lower East Side,68.70967741935485,91.93548387096774,33.55048859934853,68.70967741935485,89.6774193548387,76.11504804392588,76.11504804392588,True,,True,1324953.2680386894,13177241.80956636,0.10054860396329718,370,3679.812403313521,44.0,3.320869335749419e-05,91.01063829787235,15942.538601382632,7.4759861543610375,52.903225806451616,2 Av,232,9578485.0,49.83870967741936,53.2258064516129,1676679.1552858942,1683966.5461655597,1209219.8509824579,3308318.089579655,2190836.3978274716,988918.8427201321,1270056.9122232697,1542408.762040845,579892.8404353037,1842059.5509368237,1726382.6998757622
36061004500,SoHo-Little Italy-Hudson Square,98.06451612903226,89.35483870967742,5.537459283387622,98.06451612903226,32.25806451612903,75.83300269043673,75.83300269043673,True,,True,4134165.492255823,39396924.148446485,0.10493625026863533,364,3468.772698358909,46.0,1.112678942325323e-05,48.27295703454086,5917.878696925502,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,1697502.7506269892,1669007.947641928,1919402.637417716,381892.4765422194,504213.4200226529,2825411.2497578855,4476782.5161146885,5329621.734999654,1075324.769563864,5743150.418843574,5354702.264255271
36061005502,Greenwich Village,89.6774193548387,79.03225806451613,14.65798045602606,89.6774193548387,38.064516129032256,73.35876245702975,73.35876245702975,True,,True,3203926.1384458416,27744405.43383326,0.11548007925730404,310,2684.4456809670287,41.0,1.279679537902608e-05,72.98170075349839,11092.822313931496,0.0,83.38709677419355,Broadway-Lafayette St,619,22467733.0,81.12903225806451,89.35483870967742,2349819.913124107,3133117.422236802,4086961.17452063,1128746.7268702264,644594.50604883,2826439.7921953863,3250461.898289862,3950616.540138102,1024982.9309311057,3913524.384602438,4257531.284518158
36061004900,SoHo-Little Italy-Hudson Square,87.09677419354838,67.0967741935484,18.892508143322477,87.09677419354838,28.387096774193548,69.07976650723552,69.07976650723552,True,,True,5054902.000593149,24441812.707372922,0.2068137114506375,472,2282.2471328873057,52.0,1.0287042104249725e-05,79.01468498342018,14786.253670274113,0.0,83.38709677419355,Spring St,168,7682681.0,38.064516129032256,77.41935483870968,3986938.5176578476,3566856.7712635705,1857157.1222660956,1466648.5041006056,1045347.1652775296,3373999.087117304,6131311.415960714,6216346.035395932,1551030.2050497434,6828871.221125931,6227854.038909272
36061004300,SoHo-Little Italy-Hudson Square,89.35483870967742,93.54838709677419,13.680781758957655,89.35483870967742,23.548387096774192,68.74376793555302,68.74376793555302,True,,True,4114508.1750206477,27583838.405497473,0.14916372821414964,574,3848.1204973364997,38.0,9.235609494007096e-06,71.97213290460878,19341.163126856798,0.0,83.38709677419355,Prince St,17,7386040.0,37.41935483870968,77.09677419354838,2957486.268749657,2873708.2711109836,2991528.1148340306,1104757.038389924,610476.0535257309,3052273.567199363,4231689.380494656,5190969.41782281,1250291.3643952173,5419394.204593827,5542431.115618014
36061003602,East Village,71.93548387096774,64.51612903225806,46.579804560260584,71.93548387096774,52.25806451612903,67.10744696681603,67.10744696681603,True,,True,1358125.1722047578,15210890.030794848,0.08928637111011897,198,2217.5836864934513,23.0,1.693509813058253e-05,93.43926191696566,18883.061088019993,0.0,83.38709677419355,2 Av,232,9578485.0,49.83870967741936,80.96774193548387,1815677.328013245,1770964.0787208239,1791772.9359246343,1861083.4460713547,1584607.918071952,1007839.0847215679,1316382.1507962276,1559514.3390311385,541294.1792657125,1771124.7008326177,1952596.5785812824
36061004700,SoHo-Little Italy-Hudson Square,89.03225806451613,81.29032258064515,15.309446254071663,89.03225806451613,7.741935483870968,63.88229264437089,63.88229264437089,True,,True,4407674.0023361035,26645576.826986782,0.16541859952800825,465,2811.050276853948,22.0,4.991293593184575e-06,73.77488514548239,10385.772850828136,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,2179182.778064788,1704051.9300953073,1441842.21541205,891627.1004473007,1123045.5399310356,2788171.1368385474,5039137.56082057,5286350.358842817,1263581.103698059,6525418.579066049,5543385.2747505745
36061003700,SoHo-Little Italy-Hudson Square,72.58064516129032,61.61290322580645,11.400651465798045,72.58064516129032,23.870967741935484,57.67660808379386,57.67660808379386,True,,True,5846779.436757259,15288784.515763508,0.38242277734563757,812,2123.3044894344935,54.0,9.235852206885586e-06,66.75796812749005,6354.224026263324,0.0,83.38709677419355,Houston St,324,7221048.0,34.83870967741935,76.12903225806451,2497532.164613782,4259074.00277969,2340617.8068599263,2270045.8352399794,3065851.4669477665,5531624.882165808,6668862.282979506,7522706.585289397,2137214.311131941,6288193.539403664,6932075.0195732415
36061005501,Greenwich Village,75.16129032258064,17.419354838709676,18.566775244299674,75.16129032258064,5.161290322580645,54.35378204872602,54.35378204872602,True,,True,1990418.9863196816,16006533.156175127,0.12435041160376456,101,812.2208740396509,7.0,3.516845715030782e-06,79.01112484548825,18423.742796285547,48.43059653242395,46.12903225806452,Broadway-Lafayette St,619,22467733.0,81.12903225806451,46.774193548387096,2040321.000753488,2235309.2199218343,1516910.1905679181,2304580.3075657,788731.9282845457,1470287.5848150817,2139040.8608791432,2358208.2569754086,740777.4267012265,2626725.950927656,2607473.8376195724
